Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
92;Devin Cannady;PG;25;ORL;5;0;29.0;3.0;8.8;0.341;3.0;7.4;0.405;0.0;1.4;0.0;0.511;1.0;1.4;0.714;0.2;1.0;1.2;2.0;1.0;0.6;1.0;1.8;10.0;2021-2022
93;Clint Capela;C;27;ATL;74;73;27.6;5.0;8.2;0.613;0.0;0.0;0.0;5.0;8.1;0.614;0.613;1.1;2.3;0.473;3.8;8.1;11.9;1.2;0.7;1.3;0.6;2.2;11.1;2021-2022
94;Vernon Carey Jr.;C;20;TOT;7;1;6.3;1.0;1.9;0.538;0.0;0.0;0.0;1.0;1.9;0.538;0.538;0.9;1.9;0.462;1.1;0.6;1.7;0.0;0.3;0.1;0.4;0.6;2.9;2021-2022
94;Vernon Carey Jr.;C;20;CHO;4;1;4.3;0.8;1.5;0.5;0.0;0.0;0.0;0.8;1.5;0.5;0.5;0.5;0.8;0.667;0.8;0.5;1.3;0.0;0.3;0.0;0.3;0.3;2.0;2021-2022
94;Vernon Carey Jr.;C;20;WAS;3;0;9.0;1.3;2.3;0.571;0.0;0.0;0.0;1.3;2.3;0.571;0.571;1.3;3.3;0.4;1.7;0.7;2.3;0.0;0.3;0.3;0.7;1.0;4.0;2021-2022
95;Jevon Carter;PG;26;TOT;66;3;13.7;1.5;3.8;0.387;1.0;2.6;0.388;0.5;1.3;0.386;0.518;0.2;0.3;0.833;0.2;1.5;1.7;1.5;0.4;0.2;0.5;1.0;4.2;2021-2022
95;Jevon Carter;PG;26;BRK;46;1;12.0;1.3;3.8;0.333;0.9;2.8;0.331;0.3;1.0;0.34;0.454;0.2;0.2;0.7;0.2;1.3;1.5;1.0;0.3;0.2;0.6;1.0;3.6;2021-2022
95;Jevon Carter;PG;26;MIL;20;2;17.7;2.0;4.0;0.506;1.2;2.2;0.558;0.8;1.8;0.444;0.658;0.4;0.4;1.0;0.3;1.9;2.2;2.5;0.5;0.2;0.4;1.1;5.6;2021-2022
96;Wendell Carter Jr.;C;22;ORL;62;61;29.9;5.8;11.0;0.525;1.1;3.5;0.327;4.7;7.6;0.615;0.576;2.3;3.3;0.691;2.2;8.2;10.5;2.8;0.6;0.7;1.9;2.7;15.0;2021-2022
97;Alex Caruso;SG;27;CHI;41;18;28.0;2.5;6.2;0.398;1.0;3.1;0.333;1.5;3.2;0.462;0.48;1.4;1.8;0.795;0.8;2.8;3.6;4.0;1.7;0.4;1.4;2.6;7.4;2021-2022
98;Willie Cauley-Stein;C;28;TOT;20;2;9.2;0.8;1.8;0.457;0.1;0.1;0.5;0.8;1.7;0.455;0.471;0.1;0.1;0.5;0.7;1.4;2.0;0.5;0.3;0.2;0.4;1.0;1.7;2021-2022
98;Willie Cauley-Stein;C;28;DAL;18;2;9.8;0.9;1.9;0.457;0.1;0.1;0.5;0.8;1.8;0.455;0.471;0.1;0.1;0.5;0.7;1.4;2.1;0.5;0.3;0.2;0.4;0.9;1.9;2021-2022
98;Willie Cauley-Stein;C;28;PHI;2;0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5;0.0;0.0;0.0;1.0;0.0;2021-2022
99;Ahmad Caver;PG;25;IND;1;0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2021-2022
100;Justin Champagnie;SF;20;TOR;36;0;7.8;0.9;1.9;0.463;0.3;0.8;0.357;0.6;1.1;0.538;0.537;0.3;0.3;1.0;1.0;1.0;2.0;0.3;0.2;0.1;0.2;0.9;2.3;2021-2022
101;Zylan Cheatham;SF;26;UTA;1;0;5.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2021-2022
102;Chris Chiozza;PG;26;GSW;34;1;10.9;0.7;2.4;0.296;0.5;1.6;0.321;0.2;0.8;0.25;0.401;0.1;0.1;0.667;0.3;0.8;1.1;1.9;0.4;0.0;0.9;0.9;2.0;2021-2022
103;Marquese Chriss;PF;24;DAL;34;0;10.2;1.8;3.9;0.463;0.2;0.7;0.32;1.6;3.2;0.495;0.493;0.6;1.0;0.667;1.0;2.1;3.0;0.5;0.4;0.4;0.5;1.9;4.5;2021-2022
104;Josh Christopher;SG;20;HOU;74;2;18.0;3.0;6.8;0.448;0.8;2.6;0.296;2.3;4.2;0.54;0.504;1.1;1.5;0.735;0.7;1.8;2.5;2.0;0.9;0.2;1.5;1.3;7.9;2021-2022
105;Gary Clark;PF;27;NOP;38;1;9.9;0.9;2.3;0.375;0.7;1.8;0.4;0.1;0.5;0.278;0.534;0.2;0.3;0.7;0.6;1.8;2.4;0.5;0.3;0.2;0.3;0.5;2.7;2021-2022
106;Brandon Clarke;PF;25;MEM;64;1;19.5;4.5;7.0;0.644;0.1;0.3;0.227;4.4;6.6;0.666;0.65;1.3;2.0;0.654;2.1;3.2;5.3;1.3;0.6;1.1;0.5;1.9;10.4;2021-2022
107;Jordan Clarkson;SG;29;UTA;79;1;27.1;5.9;14.1;0.419;2.4;7.6;0.318;3.5;6.5;0.535;0.504;1.8;2.2;0.828;0.8;2.6;3.5;2.5;0.8;0.2;1.6;1.9;16.0;2021-2022
108;Nic Claxton;C;22;BRK;47;19;20.7;3.8;5.6;0.674;0.0;0.0;0.0;3.8;5.6;0.674;0.674;1.1;2.0;0.581;1.9;3.7;5.6;0.9;0.5;1.1;0.8;2.3;8.7;2021-2022
